id,category,question,keywords,answer,status,updated_at,image
Q001,vetad,วีต้า-ดี พลัส ราคาเท่าไหร่,"ราคา, กี่บาท, เท่าไหร่, วีต้าดี",วีต้า-ดี พลัส กระปุกละ 490 บาทค่ะ,active,2026-08-07,veta-d.jpg
Q002,vetad,วีต้า-ดี พลัส กินยังไง,"กินยังไง, วิธีกิน, วันละกี่เม็ด",วีต้า-ดี พลัส ทานวันละ 1 เม็ด หลังอาหารเช้าค่ะ,active,2026-08-07,veta-d.jpg
Q003,znight,ซี-ไนท์ ราคาเท่าไหร่,"ราคา, ซีไนท์, กี่บาท",ซี-ไนท์ กระปุกละ 390 บาทค่ะ,active,2026-08-07,z-night.jpg
Q004,toothpaste,ยาสีฟันคอนฟิเด้นท์ ราคาเท่าไหร่,"ยาสีฟัน, คอนฟิเด้นท์, ราคา",ยาสีฟันสมุนไพรคอนฟิเด้นท์ หลอดละ 190 บาทค่ะ,active,2026-08-07,confident.jpg
Q005,contact,เบอร์โทรร้าน / ติดต่อยังไง,"เบอร์, โทร, ติดต่อ, เบอร์โทร, แอดมิน",ติดต่อแอดมินได้ที่เบอร์ 094-2642842 นะคะ,active,2026-08-07,
Q006,contact,เปิดกี่โมง / ทำการวันไหน,"เปิดกี่โมง, ปิดกี่โมง, เวลาทำการ, วันไหน",ร้านเปิดทุกวัน เวลา 09:00 - 18:00 น. ค่ะ,active,2026-08-07,
Q007,shipping,ส่งกี่วัน ค่าส่งเท่าไหร่,"ส่งกี่วัน, ค่าส่ง, จัดส่ง, ขนส่ง, ส่งฟรี",จัดส่ง 2-3 วันทำการ  ส่งฟรีค่ะ,active,2026-08-07,
Q008,payment,จ่ายเงินยังไง,"จ่ายเงิน, ชำระ, โอน, เก็บปลายทาง, พร้อมเพย์",ชำระได้ทั้งโอนผ่านธนาคาร พร้อมเพย์ และเก็บเงินปลายทางค่ะ,active,2026-08-07,
Q009,safety,ตั้งครรภ์ / ให้นมบุตร กินได้ไหม,"ท้อง, ตั้งครรภ์, ให้นม, คนท้อง, ให้นมบุตร",คุณแม่ตั้งครรภ์และให้นมบุตร ควรปรึกษาแพทย์ก่อนค่ะ,active,2026-08-07,
Q010,safety,มีโรคประจำตัว / กินยาอยู่ กินได้ไหม,"โรคประจำตัว, กินยาอยู่, ยาประจำ, ความดัน, เบาหวาน",ถ้ามีโรคประจำตัวหรือทานยาประจำอยู่ ควรปรึกษาแพทย์ก่อนค่ะ,active,2026-08-07,
Q011,safety,เด็กกินได้ไหม,"เด็ก, ลูก, กี่ขวบ, เด็กกินได้ไหม",สำหรับเด็ก ควรปรึกษาแพทย์ก่อนค่ะ,active,2026-08-07,
Q012,promotion,โปรโมชั่น,"มีโปรไหม,โปรโมชั่น,ขอโปร","✔ชุดที่ 1 (ชุดทดลอง เปิดใจ)
1 กระปุก 490.- จากปกติ 1,200 บาท

✔ชุดที่ 2 (ชุดสุดคุ้ม)
2 กระปุก 970.- จากปกติ 2,400 บาท

✔ชุดที่ 3 (ชุดขายดี)
3 กระปุก 1,440.- จากปกติ 3,600 บาท

✔ชุดที่ 4 (ชุดครอบครัว (แนะนำ))
ทานต่อเนื่องได้ 3 เดือน 🔥
วีต้า-ดี พลัส 4 กระปุก แถมฟรี 1 กระปุก (200 เม็ด) 1,960.- จากปกติ 6,000 บาท

🚚ส่งฟรี เก็บเงินปลายทาง ทุกออเดอร์!!",active,2026-08-07,veta-d.jpg
Q013,โอนเงิน,ขอเลขบัญชี,"ขอเลขบัญชี,เลขบัญชี","Kbank
331224731
บจก. เอแอนด์ดับเบิ้ลยู เอนเตอร์ไพรส์",active,2026-08-07,
Q014,ผลลัพธ์,เห็นผลจริงไหม,"เห็นผลจริงไหม, กินแล้วจะเห็นผลไหม, พรีเซ็นเตอร์, ผู้การแต้ม, ใครใช้",วีต้า-ดี พลัส ได้ผู้การแต้มเป็นพรีเซ็นเตอร์ค่ะ ทางร้านคัดสรรวัตถุดิบอย่างดี ทั้งนี้ผลลัพธ์ขึ้นอยู่กับแต่ละบุคคลนะคะ,active,2026-08-07,veta-d.jpg
Q015,กี่วันเห็นผล,กี่วันเห็นผล,กี่วันเห็นผล,ผลลัพธ์ขึ้นอยู่กับแต่ละบุคคลค่ะ แนะนำให้ทานต่อเนื่องตามปริมาณที่ระบุข้างกระปุกนะคะ,active,2026-08-07,veta-d.jpg
Q016,เอกสารราชการ,มี อย. ไหม,"มี อย.ไหม, ขอเลข อย.",สินค้าของทางร้านมี อย. ค่ะ เลขที่จดแจ้งสินค้า 13-1-11165-5-0104,active,2026-08-07,
Q017,โต้แย้ง แพงจัง,ทำไมแพงจัง,ทำไมแพงจัง,ราคานี้ไม่แพงนะคะคุณพี่ เพราะผลิตภัณฑ์ของเราเลือกใช้ส่วนผสมที่ดีและมีประโยชน์กับลูกค้าอย่างมากเลยค่ะ ราคานี้ถือว่าคุ้มค่ามากเลยนะคะ,active,2026-08-07,
Q018,ปริมาณ บรรจุ วีต้า-ดี พลัส,มีกี่เม็ด,"มีกี่เม็ด,1 กล่องมีกี่เม็ด",🫙ขนาดบรรจุ 1 กระปุก 40 เม็ด 💥,active,2026-08-07,veta-d.jpg
Q019,,,,,,,
Q020,,,,,,,
Q021,,,,,,,
Q022,,,,,,,
Q023,,,,,,,
