id,category,question,keywords,answer,status,image,updated_at
Q001,vitad,วีต้า-ดี พลัส ราคาเท่าไหร่,"ราคา, กี่บาท, เท่าไหร่, วีต้าดี",วีต้า-ดี พลัส กระปุกละ 890 บาทค่ะ,active,veta-d.jpg,2026-08-07
Q002,vitad,วีต้า-ดี พลัส กินยังไง,"กินยังไง, วิธีกิน, วันละกี่เม็ด",วีต้า-ดี พลัส ทานวันละ 1 เม็ด หลังอาหารเช้าค่ะ,active,veta-d.jpg,2026-08-07
Q003,cnight,ซี-ไนท์ ราคาเท่าไหร่,"ราคา, ซีไนท์, กี่บาท",ซี-ไนท์ กระปุกละ 790 บาทค่ะ,active,z-night.jpg,2026-08-07
Q004,toothpaste,ยาสีฟันคอนฟิเด้นท์ ราคาเท่าไหร่,"ยาสีฟัน, คอนฟิเด้นท์, ราคา",ยาสีฟันสมุนไพรคอนฟิเด้นท์ หลอดละ 150 บาทค่ะ,active,confident.jpg,2026-08-07
Q900,contact,เบอร์โทรร้าน / ติดต่อยังไง,"เบอร์, โทร, ติดต่อ, เบอร์โทร, แอดมิน",ติดต่อแอดมินได้ที่เบอร์ 0X-XXX-XXXX นะคะ,active,,2026-08-07
Q901,contact,เปิดกี่โมง / ทำการวันไหน,"เปิดกี่โมง, ปิดกี่โมง, เวลาทำการ, วันไหน",ร้านเปิดทุกวัน เวลา XX.XX - XX.XX น. ค่ะ,active,,2026-08-07
Q902,shipping,ส่งกี่วัน ค่าส่งเท่าไหร่,"ส่งกี่วัน, ค่าส่ง, จัดส่ง, ขนส่ง, ส่งฟรี",จัดส่ง 2-3 วันทำการ ค่าส่ง 50 บาท สั่งครบ 1000 บาท ส่งฟรีค่ะ,active,,2026-08-07
Q903,payment,จ่ายเงินยังไง,"จ่ายเงิน, ชำระ, โอน, เก็บปลายทาง, พร้อมเพย์",ชำระได้ทั้งโอนผ่านธนาคาร พร้อมเพย์ และเก็บเงินปลายทางค่ะ,active,,2026-08-07
Q910,safety,ตั้งครรภ์ / ให้นมบุตร กินได้ไหม,"ท้อง, ตั้งครรภ์, ให้นม, คนท้อง, ให้นมบุตร",คุณแม่ตั้งครรภ์และให้นมบุตร ควรปรึกษาแพทย์ก่อนค่ะ,active,,2026-08-07
Q911,safety,มีโรคประจำตัว / กินยาอยู่ กินได้ไหม,"โรคประจำตัว, กินยาอยู่, ยาประจำ, ความดัน, เบาหวาน",ถ้ามีโรคประจำตัวหรือทานยาประจำอยู่ ควรปรึกษาแพทย์ก่อนค่ะ,active,,2026-08-07
Q912,safety,เด็กกินได้ไหม,"เด็ก, ลูก, กี่ขวบ, เด็กกินได้ไหม",สำหรับเด็ก ควรปรึกษาแพทย์ก่อนค่ะ,active,,2026-08-07
Q999,promotion,ตัวอย่างแถวที่ยังไม่เผยแพร่,"ตัวอย่าง, draft",แถวนี้ status เป็น draft จึงไม่ถูกส่งเข้า prompt,draft,,2026-08-07
